?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/WBPhenotype_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lipid synthesis decreased"	
<http://purl.obolibrary.org/obo/WBbt_0004534>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lineage name: G2.p"	
<http://purl.obolibrary.org/obo/WBbt_0004534>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"excretory pore cell"	
<http://purl.obolibrary.org/obo/WBbt_0004534>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"exc socket"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001610>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ether hypersensitive"	
<http://purl.obolibrary.org/obo/PATO_0000276>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"litter size"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000643>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"uncoordinated"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000643>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"movement defect"	
<http://purl.obolibrary.org/obo/WBbt_0005785>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"somatic germline"	
<http://purl.obolibrary.org/obo/GO_0060109>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"medial layer struts"	
<http://purl.obolibrary.org/obo/GO_0016192>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"protein sorting along secretory pathway"	
<http://purl.obolibrary.org/obo/GO_0016192>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"vesicle trafficking"	
<http://purl.obolibrary.org/obo/GO_0007140>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"male meiosis"	
<http://purl.obolibrary.org/obo/PATO_0001798>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"twisted"	
<http://purl.obolibrary.org/obo/PATO_0001798>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"tightly curled"	
<http://purl.obolibrary.org/obo/PATO_0001769>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cellular polarity"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000390>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"spermiogenesis defective"	
<http://purl.obolibrary.org/obo/PATO_0000404>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"helicoid"	
<http://purl.obolibrary.org/obo/PATO_0000404>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"helicoidal"	
<http://purl.obolibrary.org/obo/PATO_0000404>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"helix-shaped"	
<http://purl.obolibrary.org/obo/PATO_0000404>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"helical"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000050>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"inviable zygote"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000050>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"egg lethal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000050>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"embryonic death"	
<http://purl.obolibrary.org/obo/PATO_0000498>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"chronic"	
<http://purl.obolibrary.org/obo/PATO_0000498>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"prolonged period"	
<http://purl.obolibrary.org/obo/PATO_0000498>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"slow time"	
<http://purl.obolibrary.org/obo/GO_0030968>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"SREBP-mediated signalling pathway"	
<http://purl.obolibrary.org/obo/WBbt_0005409>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"motoneuron"	
<http://purl.obolibrary.org/obo/PATO_0000587>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"tiny"	
<http://purl.obolibrary.org/obo/PATO_0000587>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"reduced"	
<http://purl.obolibrary.org/obo/PATO_0000587>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"small"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001143>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"multiple nuclei in early embryo emb"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001143>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"karyomeres"	
<http://purl.obolibrary.org/obo/WBbt_0006761>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"head body wall muscle"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000553>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"muscle birefringence abnormal"	
<http://purl.obolibrary.org/obo/WBbt_0006830>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"hermaphrodite specific neuron"	
<http://purl.obolibrary.org/obo/GO_0009058>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"single-organism biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"protein complex assembly"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cellular protein-containing complex assembly"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"macromolecular complex assembly"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cellular macromolecule complex assembly"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"macromolecule complex assembly"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"chaperone activity"	
<http://purl.obolibrary.org/obo/GO_0065003>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"protein complex formation"	
<http://purl.obolibrary.org/obo/WBbt_0004942>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lineage name: ABplppppapa"	
<http://purl.obolibrary.org/obo/WBbt_0004942>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"postembryonic E cell"	
<http://purl.obolibrary.org/obo/WBbt_0004804>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lineage name: P0.pap"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000456>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"touch insensitive"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001442>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"sodium chemotaxis defective"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000757>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"L3 molt"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000499>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"EMS response abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001006>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pumping rate dynamics abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001006>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"feeding rate dynamics abnormal"	
<http://purl.obolibrary.org/obo/GO_0007059>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"chromosome transmission"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001394>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"no pumping"	
<http://purl.obolibrary.org/obo/GO_0008630>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"DNA damage response, signal transduction resulting in induction of apoptosis"	
<http://purl.obolibrary.org/obo/GO_0043050>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pumping behavior"	
<http://purl.obolibrary.org/obo/PATO_0001624>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"impaired"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000674>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"retarded development"	
<http://purl.obolibrary.org/obo/PATO_0000375>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"short distance"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000440>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"long excretory canals"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001224>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"axon migration variant"	
<http://purl.obolibrary.org/obo/GO_0008150>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"single-organism process"	
<http://purl.obolibrary.org/obo/GO_0008150>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"single organism process"	
<http://purl.obolibrary.org/obo/PATO_0002325>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"initiation"	
<http://purl.obolibrary.org/obo/PATO_0002324>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"completeness"	
<http://purl.obolibrary.org/obo/PATO_0002324>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"extent"	
<http://purl.obolibrary.org/obo/PATO_0000591>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"thick"	
<http://purl.obolibrary.org/obo/PATO_0000608>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"blocked"	
<http://purl.obolibrary.org/obo/PATO_0000596>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"small volume"	
<http://purl.obolibrary.org/obo/PATO_0000570>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"tall"	
<http://purl.obolibrary.org/obo/PATO_0000374>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"long distance"	
<http://purl.obolibrary.org/obo/PATO_0001475>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"high position"	
<http://purl.obolibrary.org/obo/PATO_0000461>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"average"	
<http://purl.obolibrary.org/obo/PATO_0000595>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"large volume"	
<http://purl.obolibrary.org/obo/PATO_0000947>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ovoid"	
<http://purl.obolibrary.org/obo/PATO_0000947>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"oval"	
<http://purl.obolibrary.org/obo/PATO_0000380>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"frequent"	
<http://purl.obolibrary.org/obo/PATO_0001433>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"growth timing quality"	
<http://purl.obolibrary.org/obo/PATO_0001433>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"growth quality of a process"	
<http://purl.obolibrary.org/obo/GO_0005929>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"flagellum"	
<http://purl.obolibrary.org/obo/PATO_0001476>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"low position"	
<http://purl.obolibrary.org/obo/PATO_0000499>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"fast time"	
<http://purl.obolibrary.org/obo/PATO_0002006>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cross-sectional"	
<http://purl.obolibrary.org/obo/PATO_0002006>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"2-D projection"	
<http://purl.obolibrary.org/obo/PATO_0001309>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"time"	
<http://purl.obolibrary.org/obo/PATO_0002255>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"creased"	
<http://purl.obolibrary.org/obo/PATO_0002255>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"channeled"	
<http://purl.obolibrary.org/obo/PATO_0001303>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"variability of a physical quality"	
<http://purl.obolibrary.org/obo/WBbt_0008115>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"P cell"	
<http://purl.obolibrary.org/obo/WBbt_0005176>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"anomalous_pharynx_cells (TreeNode)"	
<http://purl.obolibrary.org/obo/WBbt_0005176>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"GLR scaffold cell"	
<http://purl.obolibrary.org/obo/WBbt_0006837>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"5-HT neuron"	
<http://purl.obolibrary.org/obo/WBbt_0006849>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"primordial germ cell"	
<http://purl.obolibrary.org/obo/WBbt_0006849>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"PGC"	
<http://purl.obolibrary.org/obo/WBbt_0005237>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"microtubule cell"	
<http://purl.obolibrary.org/obo/WBbt_0005237>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"touch cell"	
<http://purl.obolibrary.org/obo/WBbt_0005237>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"touch receptor"	
<http://purl.obolibrary.org/obo/WBbt_0005368>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gon_herm_spth_A"	
<http://purl.obolibrary.org/obo/WBbt_0005298>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ventral ganglia"	
<http://purl.obolibrary.org/obo/WBbt_0006790>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"uv cell"	
<http://purl.obolibrary.org/obo/WBbt_0008182>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"rectal epithelium"	
<http://purl.obolibrary.org/obo/WBbt_0008422>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"genitalia"	
<http://purl.obolibrary.org/obo/WBbt_0005813>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"body muscle"	
<http://purl.obolibrary.org/obo/WBbt_0006909>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ventral longitudinal muscle"	
<http://purl.obolibrary.org/obo/WBbt_0006909>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"mu_male_long"	
<http://purl.obolibrary.org/obo/WBbt_0006840>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ACh neuron"	
<http://purl.obolibrary.org/obo/WBbt_0008209>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"male somatic gonadal cell"	
<http://purl.obolibrary.org/obo/WBbt_0008410>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Phso"	
<http://purl.obolibrary.org/obo/WBbt_0006865>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"DTC"	
<http://purl.obolibrary.org/obo/WBbt_0006870>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gon_male_sves"	
<http://purl.obolibrary.org/obo/WBbt_0005766>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"anatomical structure"	
<http://purl.obolibrary.org/obo/WBbt_0008409>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"T cell"	
<http://purl.obolibrary.org/obo/WBbt_0008074>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"syncytial cell"	
<http://purl.obolibrary.org/obo/WBbt_0008074>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"syncitium"	
<http://purl.obolibrary.org/obo/WBbt_0008074>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"syncycia"	
<http://purl.obolibrary.org/obo/WBbt_0005753>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lateral hypodermis"	
<http://purl.obolibrary.org/obo/WBbt_0008189>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gon_male_sves"	
<http://purl.obolibrary.org/obo/WBbt_0008189>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gon male sves"	
<http://purl.obolibrary.org/obo/WBbt_0005105>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lateral ganglia"	
<http://purl.obolibrary.org/obo/WBbt_0005830>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lumbar lateral ganglia"	
<http://purl.obolibrary.org/obo/WBbt_0005830>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lumbar lateral ganglion"	
<http://purl.obolibrary.org/obo/WBbt_0005465>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"posterior lateral ganglia"	
<http://purl.obolibrary.org/obo/WBbt_0004017>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Cell type"	
<http://purl.obolibrary.org/obo/WBbt_0005062>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lineage name: Z1.paa/Z4.aaa"	
<http://purl.obolibrary.org/obo/WBbt_0005062>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gon_male_link"	
<http://purl.obolibrary.org/obo/WBbt_0005754>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"interfacial cell"	
<http://purl.obolibrary.org/obo/WBbt_0005754>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"interfacial epithelium"	
<http://purl.obolibrary.org/obo/WBbt_0005754>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"transitional epithelium"	
<http://purl.obolibrary.org/obo/WBbt_0006749>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"circumpharyngeal nerve ring"	
<http://purl.obolibrary.org/obo/WBbt_0006750>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"dorsal cord"	
<http://purl.obolibrary.org/obo/WBbt_0005178>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ovotestis"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000749>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"developmental defects detected in embryos"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001048>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"volatile chemosensory response abnormal"	
<http://purl.obolibrary.org/obo/GO_0048066>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pigmentation during development"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000812>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"germline development abnormal"	
<http://purl.obolibrary.org/obo/GO_0043005>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"nerve fiber"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000102>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"synaptic vesicle cluster abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000481>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"chemoaversion abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000481>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"chemical avoidance abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000121>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"protein synthesis abnormal"	
<http://purl.obolibrary.org/obo/GO_0005604>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"basement lamina"	
<http://purl.obolibrary.org/obo/GO_0005604>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"basal lamina"	
<http://purl.obolibrary.org/obo/GO_0005604>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"lamina densa"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000853>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"IFT abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000691>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"gonadogenesis abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000691>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Gon"	
<http://purl.obolibrary.org/obo/GO_0000398>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"splicing AT-AC intron"	
<http://purl.obolibrary.org/obo/GO_0000398>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"splicing GT-AG intron"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000859>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"excretory pore cell development abnormal"	
<http://purl.obolibrary.org/obo/GO_0009269>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"desiccation tolerance"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001878>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"hydroxycarbamide response variant"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001878>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"HU response variant"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000624>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"reproductive defect"	
<http://purl.obolibrary.org/obo/GO_0005575>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"subcellular entity"	
<http://purl.obolibrary.org/obo/GO_0035915>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pore-forming toxin activity"	
<http://purl.obolibrary.org/obo/GO_0007399>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pan-neural process"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000857>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"excretory canal cell development abnormal"	
<http://purl.obolibrary.org/obo/GO_0006887>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"nonselective vesicle exocytosis"	
<http://purl.obolibrary.org/obo/GO_0007268>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"neurotransmission"	
<http://purl.obolibrary.org/obo/GO_0007610>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"single-organism behavior"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000885>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"phagocytosis abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000384>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"axon pathfinding abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000822>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"sex specific development abnormal"	
<http://purl.obolibrary.org/obo/GO_0016049>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"metabolic process resulting in cell growth"	
<http://purl.obolibrary.org/obo/GO_0016049>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"non-developmental growth of a unicellular organism"	
<http://purl.obolibrary.org/obo/GO_0016049>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cell expansion"	
<http://purl.obolibrary.org/obo/GO_0016049>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"non-developmental cell growth"	
<http://purl.obolibrary.org/obo/GO_0016049>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"metabolism resulting in cell growth"	
<http://purl.obolibrary.org/obo/WBPhenotype_0002414>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"spindle abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000880>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"axonogenesis abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001676>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"microtubule cell morphology abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0001676>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"mechanosensory neuron abnormal"	
<http://purl.obolibrary.org/obo/GO_0045202>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"electrotonic synapse"	
<http://purl.obolibrary.org/obo/GO_0048468>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"terminal differentiation"	
<http://purl.obolibrary.org/obo/GO_0009636>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"toxin resistance"	
<http://purl.obolibrary.org/obo/GO_0009636>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"toxin susceptibility/resistance"	
<http://purl.obolibrary.org/obo/WBPhenotype_0002408>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"cytokinesis abnormal"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000626>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"non associative learning variant"	
<http://purl.obolibrary.org/obo/GO_0006986>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"heat shock protein activity"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000504>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"karyokinesis abnormal"	
<http://purl.obolibrary.org/obo/GO_0055037>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"endosome recycling compartment"	
<http://purl.obolibrary.org/obo/GO_0055037>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"ERC"	
<http://purl.obolibrary.org/obo/GO_0006950>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"response to abiotic stress"	
<http://purl.obolibrary.org/obo/GO_0006950>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"response to biotic stress"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000421>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"tetramisole resistant"	
<http://purl.obolibrary.org/obo/GO_0007097>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"establishment of nucleus localization"	
<http://purl.obolibrary.org/obo/GO_0007097>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"establishment of nucleus localisation"	
<http://purl.obolibrary.org/obo/GO_0007097>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"establishment of cell nucleus localization"	
<http://purl.obolibrary.org/obo/GO_0007097>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"establishment of localization of nucleus"	
<http://purl.obolibrary.org/obo/WBPhenotype_0000540>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"muscle arm extension variant"	
<http://purl.obolibrary.org/obo/GO_0007411>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"axon chemotaxis"	
